pair,Ticker1,Ticker2,rho,alpha,beta,phi,halflife,ou_mu,ou_sigma,r2,eg_p,adf_p,Nobs
CEPU-VIST,CEPU,VIST,0.44289830314113765,1.4590526550808804,0.2114680643306358,0.9235554906434897,8.716157989104026,-0.014313749730503585,0.2455068562195497,0.8668064696476941,3.5627675093542e-06,3.7558563946452626e-07,756
MELI-NU,MELI,NU,0.6103648242907393,530.068549254769,71.89859207898341,0.9032525143830459,6.812048070720778,8.164911180122072,87.74391475392274,0.821832115666903,0.00036016842432946123,5.356910393907614e-05,260
BBD-SID,BBD,SID,0.6196194607332147,2.6905759005431675,0.11465196701165374,0.9826195942741716,39.53336876735215,-0.2810557389914021,0.5037836011607205,0.9834904652679928,0.0004000927072418111,4.065699012203781e-05,756
BBD-VLRS,BBD,VLRS,0.4877180700408229,2.720078356408458,0.02411512763468321,0.982896761194146,40.179676770075844,-0.2818959702266807,0.518644593744392,0.9831190567192807,0.0005762307166765673,6.287320827585939e-05,756
PAX-VLRS,PAX,VLRS,0.3730541471317065,10.314428267801304,0.13905596273094697,0.955131029819422,15.09902732078321,-0.19654291118687076,0.9981615918834679,0.9335670842466539,0.0007397066571940551,9.147739695440232e-05,483
BSBR-VLRS,BSBR,VLRS,0.5394019061072082,3.467005342088603,0.09432827268863715,0.9793787367359126,33.26544874060912,-0.17189896565118623,0.6338262290597094,0.9733821384060436,0.0008355121369656923,0.00010846064683565762,756
BSBR-SID,BSBR,SID,0.6481458759040979,3.655117824764609,0.34409367132149227,0.9799303440269049,34.189328713238865,-0.1893985658668318,0.6213513897257976,0.9753228030631013,0.0009248368050321509,0.00011751016156973287,756
IRS-VIST,IRS,VIST,0.354374712428913,2.293090523559256,0.05797299400974732,0.965769617528192,19.900886860003286,-0.05242847903958148,0.35201527872056615,0.9491297298927883,0.0009367838522464,0.00014072765017956147,756
BBD-DESP,BBD,DESP,0.45305184719455077,1.2638707757963699,0.17459981150864304,0.9769548226342242,29.72983391342354,-0.12587015255529163,0.43814091198224436,0.9725915790850638,0.0011106671149418072,0.000148673517389568,756
BRFS-XP,BRFS,XP,0.5387642476463836,1.3528441838855405,0.0708441992266596,0.9850262263429218,45.943302792140344,-0.4095769829409396,0.6229223509493036,0.9869302966981149,0.0011207850473881804,0.003536210272743473,756
BSBR-CX,BSBR,CX,0.5024129962881995,3.5120443157790993,0.23309331718459728,0.9806604240774808,35.49316600061825,-0.2020495760003777,0.6594675503492872,0.9755614789303946,0.0012841883137172485,0.00017303178671986366,756
BBD-VALE,BBD,VALE,0.6159626686563008,2.9910272204743373,0.0035001710788599943,0.983302578879449,41.16468346691257,-0.29446140403734866,0.5414587939683287,0.9825500621752042,0.0013700359311737444,0.00017142003620417758,756
ASR-CAAP,ASR,CAAP,0.42110110525440925,41.87155148177905,17.370273405156446,0.9487252666904968,13.168685262846449,0.13381659889593922,9.813873421903782,0.9001247584357401,0.0014492711608924869,0.00023959090227015348,756
BBD-GGB,BBD,GGB,0.6488298279483851,2.853569668781823,0.0641348698174903,0.9837683776586885,42.35598705482605,-0.30962600087927683,0.536268146162189,0.9832916368430802,0.001572391223349841,0.0001966202509491998,756
BSBR-VALE,BSBR,VALE,0.6237646632049256,3.0315002762632974,0.17257862541100266,0.9808723759079324,35.89032856641257,-0.25999197206934815,0.6227712821044349,0.9767520675953181,0.0016771445103955787,0.00021003948306917215,756
BBD-KOF,BBD,KOF,0.5393461183250446,2.8460187721582755,0.0042133902953623925,0.9837695036166156,42.35894959046617,-0.305816675626618,0.5435133511807371,0.9828824573100069,0.001754384508369238,0.0002264451749141528,756
BSBR-PSMT,BSBR,PSMT,0.36806269009270615,2.1650689046685616,0.036124938093332816,0.9810191462265175,36.17054933549033,-0.17850364060280818,0.6826591000622765,0.9742954162097267,0.0017739291528396076,0.0002516409663338468,756
BBD-CAAP,BBD,CAAP,0.4665062446595842,2.860723531446916,0.033255290629595084,0.9838527857456201,42.579220685351466,-0.3096458096184772,0.5417010188030592,0.9830142313083426,0.002162183184605945,0.00028608854517266823,756
BSBR-TX,BSBR,TX,0.46775650184493167,3.74110168184119,0.04146920988073157,0.9810571086686881,36.24373581499968,-0.22961455626579036,0.6848939547599496,0.9759646015605628,0.0022609093472289797,0.0003220749977442572,756
BSBR-SCCO,BSBR,SCCO,0.5129228068076871,3.236278550185475,0.032723802029617784,0.9818107147273698,37.75981067314275,-0.25782430207999896,0.6783547450814896,0.9774177537183439,0.002302166639777661,0.0007058539614670748,756
