Date,ABEV,AFYA,AGRO,AMX,ARCO,ASR,AVAL,BAK,BAP,BBAR,BBD,BCH,BLX,BMA,BRFS,BSAC,BSBR,BVN,CAAP,CCU,CEPU,CIB,CINT,CPA,CX,DESP,DLO,EC,EDN,ERJ,EVEX,FMX,GGAL,GGB,GLOB,GPRK,IFS,INTR,IRS,ITUB,KOF,MELI,NEXA,NU,OMAB,PAAS,PAC,PAGS,PAM,PAX,PBR,PSMT,SCCO,SGML,SID,SQM,SUPV,TBBB,TGLS,TGS,TS,TV,TX,UGP,VALE,VINP,VIST,VLRS,VTEX,XP,YPF
2015-01-02,3.7339,NaN,6.8818,15.345,4.6237,81.9814,3.7677,7.5295,115.8929,8.7845,3.883,11.4273,14.7785,27.2255,19.2338,10.7486,2.252,8.7827,NaN,11.5906,NaN,21.5427,NaN,71.9765,8.3455,NaN,NaN,5.7192,9.15,35.3189,NaN,63.6786,11.425,1.6438,15.5,4.2102,NaN,NaN,8.472,2.8283,56.6022,124.5825,NaN,NaN,19.4423,8.047,37.7799,NaN,9.52,NaN,1.8914,78.5983,18.3796,NaN,1.011,18.2933,NaN,NaN,7.55,2.8352,20.1552,25.579,8.5686,6.5988,3.7128,NaN,NaN,8.83,NaN,NaN,25.1521
2015-01-05,3.6648,NaN,6.8128,15.1118,4.6745,79.9767,3.6287,7.0479,112.7292,8.5238,3.8339,11.2751,14.4793,26.255,18.7727,10.7045,2.2056,9.3095,NaN,11.1262,NaN,20.5533,NaN,71.0324,8.1255,NaN,NaN,5.2235,8.91,34.1365,NaN,61.8667,11.1388,1.5525,14.94,3.9746,NaN,NaN,8.4556,2.7946,55.8935,123.0481,NaN,NaN,19.2616,8.3161,38.2826,NaN,9.4,NaN,1.6983,78.5108,17.4749,NaN,0.9591,17.8886,NaN,NaN,7.5273,2.5962,19.1107,24.9264,8.1434,6.3972,3.6146,NaN,NaN,8.67,NaN,NaN,23.8516
2015-01-06,3.8029,NaN,6.8215,15.1118,4.5644,80.4017,3.6251,6.8835,112.5692,8.576,4.0218,11.2283,14.3518,26.0336,18.932,10.6879,2.2195,9.6728,NaN,11.371,NaN,20.6477,NaN,70.3611,8.227,NaN,NaN,5.175,8.9,33.5072,NaN,63.0598,11.1388,1.7015,14.43,3.8567,NaN,NaN,8.7909,2.8845,56.8738,120.8505,NaN,NaN,20.0831,8.6104,39.386,NaN,9.27,NaN,1.6843,78.642,17.4942,NaN,1.0317,17.6338,NaN,NaN,7.5273,2.5467,19.0501,24.843,7.9234,6.4574,3.8063,NaN,NaN,8.67,NaN,NaN,23.7745
2015-01-07,3.8656,NaN,6.9077,15.4511,4.5729,81.5373,3.647,6.907,113.1074,8.6672,4.1278,11.3704,14.342,26.5416,19.9214,10.9584,2.3356,9.5638,NaN,11.3961,NaN,20.6612,NaN,70.3821,8.4894,NaN,NaN,5.3517,9.06,33.5358,NaN,63.6041,11.3663,1.8409,13.99,3.6996,NaN,NaN,8.8459,2.9656,57.344,120.6129,NaN,NaN,20.2036,8.4843,39.6741,NaN,9.55,NaN,1.7347,80.165,17.798,NaN,1.1251,17.6263,NaN,NaN,7.664,2.6456,18.8142,25.1389,8.0016,6.6342,3.8998,NaN,NaN,8.68,NaN,NaN,23.4567
2015-01-08,3.9067,NaN,7.0284,15.7903,4.5729,83.4722,3.6763,6.9539,114.1546,8.8236,4.1703,11.4992,14.3959,27.1473,19.7201,11.102,2.2938,9.3368,NaN,12.488,NaN,20.4453,NaN,71.3611,8.6418,NaN,NaN,5.636,9.27,33.0685,NaN,64.812,11.6451,1.836,13.95,3.6054,NaN,NaN,8.6315,3.0331,58.0461,122.4146,NaN,NaN,19.9626,8.3161,39.6006,NaN,9.94,NaN,1.8914,81.7055,18.3085,NaN,1.1183,17.5738,NaN,NaN,7.4741,2.6374,19.1107,25.3893,8.0799,6.6342,4.0074,NaN,NaN,8.61,NaN,NaN,24.0346
2015-01-09,3.9635,NaN,7.1405,16.0519,4.412,82.565,3.7604,6.9481,112.8746,8.8757,4.0885,11.3704,14.185,27.4079,19.6027,11.0688,2.2892,10.0452,NaN,11.4086,NaN,20.4543,NaN,71.6618,8.6587,NaN,NaN,5.6498,9.58,32.8683,NaN,64.9015,11.6598,1.7928,14.02,3.6132,NaN,NaN,8.571,2.9588,59.3177,121.0584,NaN,NaN,20.2419,8.6356,39.3431,NaN,10.04,NaN,1.9753,73.443,18.3409,NaN,1.0968,17.9336,NaN,NaN,7.4437,2.6539,18.8075,25.4804,8.0603,6.6731,3.998,NaN,NaN,8.75,NaN,NaN,24.025
2015-01-12,3.9887,NaN,7.1147,15.8822,4.285,82.2288,3.786,6.9657,110.22,8.7649,3.9733,11.3303,14.1017,27.2581,19.5441,10.837,2.2427,10.5084,NaN,11.4965,NaN,20.4993,NaN,72.0464,8.5233,NaN,NaN,5.3483,9.54,32.6013,NaN,64.3348,11.5791,1.7063,13.65,3.5347,NaN,NaN,8.714,2.862,58.6819,119.0686,NaN,NaN,20.2036,8.9972,39.3431,NaN,10.24,NaN,1.8382,74.7559,18.0241,NaN,1.0646,17.6338,NaN,NaN,7.4437,2.5714,18.0932,24.6533,8.0847,6.4856,3.998,NaN,NaN,9.56,NaN,NaN,22.5415
2015-01-13,4.0203,NaN,6.8473,15.7903,4.412,84.6204,3.8043,7.0655,110.2637,8.9539,4.0187,11.3319,13.5327,27.9876,19.3261,10.7873,2.2606,10.3358,NaN,11.4839,NaN,20.6342,NaN,73.354,8.4047,NaN,NaN,5.428,9.56,33.0876,NaN,64.8419,11.9387,1.6919,13.91,3.5111,NaN,NaN,8.615,2.8958,59.5495,118.7716,NaN,NaN,19.9133,8.7533,39.8151,NaN,10.19,NaN,1.8969,75.071,17.1582,NaN,1.0377,17.5213,NaN,NaN,7.4437,2.4808,18.0258,24.9189,8.1434,6.5917,3.9746,NaN,NaN,9.56,NaN,NaN,22.2043
2015-01-14,4.0455,NaN,6.9249,15.9882,4.3527,82.787,3.8189,6.8071,106.5618,9.0517,4.1491,11.0862,13.5082,28.1569,19.8207,10.6162,2.3266,9.7273,NaN,11.3835,NaN,20.2744,NaN,72.9485,8.1593,NaN,NaN,5.4904,10.21,31.0375,NaN,64.4914,12.012,1.6535,14.19,3.6447,NaN,NaN,8.4556,2.952,58.9667,117.3362,NaN,NaN,20.2146,8.6777,38.9324,NaN,10.09,NaN,1.9081,73.0229,16.5184,NaN,1.0054,17.1242,NaN,NaN,7.4817,2.5055,18.1201,24.5546,7.7817,6.7155,3.7549,NaN,NaN,9.42,NaN,NaN,22.9654
2015-01-15,4.014,NaN,6.8042,16.0095,4.3019,80.8966,3.8226,6.6603,106.8745,9.1103,3.9945,11.0009,13.2629,28.0527,19.7369,10.5113,2.3549,9.909,NaN,11.4149,NaN,20.4183,NaN,73.8715,8.007,NaN,NaN,5.3725,9.34,30.761,NaN,62.8659,11.9753,1.6486,13.74,3.4954,NaN,NaN,8.4556,2.8553,56.4896,115.7127,NaN,NaN,20.0776,9.014,39.7232,NaN,9.65,NaN,1.9333,72.4627,16.5959,NaN,0.9732,17.0267,NaN,NaN,7.4817,2.6209,18.1538,24.2815,7.7475,6.5988,3.7362,NaN,NaN,9.51,NaN,NaN,22.1754
