Ticker,Code,Name,Exchange,Sector,Industry,GicSector,GicGroup,GicIndustry,GicSubIndustry,IsDelisted,IPODate,HomeCategory,HQCountryEODHD,CountryOfOrigin,MarketCapitalization,MarketCapitalizationMln,EBITDA,PERatio,PEGRatio,WallStreetTargetPrice,BookValue,DividendShare,DividendYield,EarningsShare,EPSEstimateCurrentYear,EPSEstimateNextYear,EPSEstimateCurrentQuarter,EPSEstimateNextQuarter,MostRecentQuarter,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,RevenuePerShareTTM,QuarterlyRevenueGrowthYOY,GrossProfitTTM,DilutedEpsTTM,QuarterlyEarningsGrowthYOY,TrailingPE,ForwardPE,PriceSalesTTM,PriceBookMRQ,EnterpriseValue,EnterpriseValueRevenue,EnterpriseValueEbitda,SharesFloat,SharesOutstanding,PercentInsiders,PercentInstitutions,ShortPercentFloat,FreeFloatPercent,HQCategory,ADV_63,DollarVolume_3M
ABEV,ABEV,Ambev SA ADR,NYSE,Consumer Defensive,Beverages - Brewers,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Brewers,False,1997-03-05,ADR,Brazil,Brazil,50922708992,50922.709,27010926592.0,16.35,2.2562,3.3256,1.1449,0.859,0.0473,0.2,0.1996,0.2223,0.0425,0.0366,2026-03-31,0.1766,0.2623,0.0978,0.1725,88209571840,5.653,-0.001,45409562624,0.2,0.024,16.35,15.625,0.5773,2.8327,47969805251,2.7449,8.3581,4204556779,15572694040,0.0,6.8839999999999995,0.0092,26.999546566574683,agree,36029401.58730159,64936647.89444445
AFYA,AFYA,Afya Ltd,NASDAQ,Consumer Defensive,Education & Training Services,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services,False,2019-07-19,ADR,Brazil,Brazil,1247048576,1247.0486,1484216960.0,8.5427,NaN,16.7675,10.5279,3.447,0.0468,1.64,9.63,10.5226,2.9115,2.1462,2026-03-31,0.2007,0.3887,0.0825,0.1676,3773606912,41.813,0.082,2427702016,1.64,0.032,8.5427,7.1276,0.3305,1.3285,1616984417,2.175,4.8035,6072352,50437186,76.45100000000001,19.784,0.0683,12.039434555290216,agree,99369.84126984127,1570882.326349206
AGRO,AGRO,Adecoagro SA,NYSE,Consumer Defensive,Farm Products,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,False,2011-01-28,ADR,Luxembourg,Argentina,1815400448,1815.4004,296724000.0,629.0,75.9697,13.5429,12.171,0.0,0.0235,0.02,1.965,1.2884,0.0672,0.6362,2026-03-31,0.0091,0.0036,0.0107,0.0109,1500908032,13.302,0.225,318664000,0.02,0.556,629.0,27.1003,1.2095,1.0339,3848837502,2.5643,8.1291,29352359,144308466,73.371,12.654000000000002,0.0432,20.340011791130813,tax-haven,679638.0952380953,6790917.772222221
AMX,AMX,America Movil SAB de CV ADR,NYSE,Communication Services,Telecom Services,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,False,2001-02-07,ADR Secondary,Mexico,Mexico,78061273088,78061.2731,375664771072.0,15.4583,1.1104,27.6047,7.1047,0.54,0.0208,1.68,1.8375,2.062,0.4471,0.4652,2026-03-31,0.0923,0.2133,0.0664,0.2113,948444266496,314.22,0.021,411241545728,1.68,0.258,15.4583,12.5471,0.0823,3.095,117046808003,2.146,5.048,51020680050,3005825000,0.0,6.268,0.0046,NaN,agree,1676376.1904761905,23389088.287301585
ARCO,ARCO,Arcos Dorados Holdings Inc,NYSE,Consumer Cyclical,Restaurants,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,False,2011-04-14,ADR,Uruguay,Argentina,1874901120,1874.9011,596348032.0,8.018,0.5441,11.0278,3.681,0.28,0.0315,1.11,0.785,0.8606,0.1024,0.1426,2026-03-31,0.0486,0.0516,0.0671,0.3628,4817630208,22.869,0.129,588033024,1.11,1.594,8.018,14.5138,0.3892,2.3744,3774251207,0.7764,6.3698,120442390,130663057,4.584,53.491,0.0278,92.17784488235264,regional-shift,1348177.7777777778,10152616.32063492
ASR,ASR,Grupo Aeroportuario del Sureste SAB de CV ADR,NYSE,Industrials,Airports & Air Services,Industrials,Transportation,Transportation Infrastructure,Airport Services,False,2000-09-28,ADR,Mexico,Mexico,9177499648,9177.4996,19997175808.0,16.2117,0.9201,363.0625,81.6975,0.0,0.0188,18.85,21.8413,25.3933,6.2855,5.5955,2026-03-31,0.2623,0.5292,0.1157,0.1782,37308006400,1243.6,0.008,17407956992,18.85,-0.2,16.2117,13.2802,0.246,3.7405,10412724969,4.8288,9.2646,81855000,27705000,0.0,12.585,0.024,NaN,agree,50185.71428571428,11212101.073492061
AVAL,AVAL,Grupo Aval,NYSE,Financial Services,Banks - Regional,Financials,Banks,Banks,Diversified Banks,False,2014-09-23,ADR,Colombia,Colombia,5650947584,5650.9476,NaN,12.2051,0.0,4.0,775.421,0.0,0.0364,0.39,0.4197,0.5565,0.0,0.0,2026-03-31,0.1211,0.0,0.0095,0.096,13436965617664,11318.44,0.19,13436965617664,0.39,-0.069,12.2051,0.0,1.1763,1.184,48178615287808,4.6655,0.0,4582728255,378293132,0.003,1.1820000000000002,0.0017,NaN,agree,132477.77777777778,349787.06317460316
BAK,BAK,Braskem SA Class A,NYSE,Basic Materials,Chemicals,Materials,Materials,Chemicals,Commodity Chemicals,False,1999-01-13,ADR,Brazil,Brazil,1781224192,1781.2242,3800999936.0,NaN,1.4567,3.9078,-7.8749,NaN,NaN,-4.57,2.5492,-0.536,0.0,0.0,2026-03-31,-0.1368,-0.0103,0.0007,-5.4876,66744999936,167.446,-0.204,3177999872,-4.57,1.072,0.0,9.7847,0.0267,181.0163,13815858137,1.0448,9.636,202307425,172530183,0.023,4.269,0.0388,NaN,agree,857682.5396825396,3545074.777777778
BAP,BAP,Credicorp Ltd,NYSE,Financial Services,Banks - Regional,Financials,Banks,Banks,Diversified Banks,False,1995-10-25,ADR,Peru,Peru,27667081216,27667.0812,NaN,13.3528,4.5503,363.1439,144.2026,50.0,0.041,26.08,29.49,32.9364,7.2572,7.2198,2026-03-31,0.329,0.4879,0.0277,0.1915,21917644800,276.134,0.256,21750482944,26.08,0.161,13.3528,12.6422,1.2623,2.4022,-16877034496,4.9208,0.0,53239147,79448317,14.612,82.09,0.0237,67.01104442527084,agree,286480.95238095237,48009981.17555557
BBAR,BBAR,BBVA Banco Frances SA ADR,NYSE,Financial Services,Banks - Regional,Financials,Banks,Banks,Regional Banks,False,1993-11-24,ADR,Argentina,Argentina,3747743232,3747.7432,NaN,16.8349,4.374,24.6667,3.9722,0.0,0.0162,1.09,0.424,1.188,0.355,0.0,2026-03-31,0.0713,0.1441,0.0116,0.0715,3146823761920,15407.73,0.261,3084267814912,1.09,-0.057,16.8349,3.2185,0.0012,1.3588,-3088448749568,1.8882,0.0,161363326,204236693,0.0,9.617,0.0485,79.00799980148523,agree,799319.0476190476,16144650.422063492
